141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/clients/360logo_dark.png HTTP/1.1" 200 17598 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/clients/mush_logo_dark.png HTTP/1.1" 200 11916 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/clients/sun_logo_dark.png HTTP/1.1" 200 8860 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/clients/smart_prod_logo_dark.png HTTP/1.1" 200 12997 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/frontend/img/cd-icon-close.svg HTTP/1.1" 200 696 "http://gkeysystems.com/assets/unicom/css/style_from_old.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/loader.gif HTTP/1.1" 200 3349 "http://gkeysystems.com/assets/unicom/css/slick-theme.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:04 +0300] "GET /assets/unicom/images/content/sliders/7.jpg HTTP/1.1" 200 241231 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:02:05 +0300] "GET /assets/unicom/images/gk_for_favicon_oIe_icon.ico HTTP/1.0" 200 1421 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:03:46 +0300] "GET /assets/unicom/images/fancybox_sprite.png HTTP/1.1" 200 1402 "http://gkeysystems.com/assets/unicom/css/jquery.fancybox.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:03:46 +0300] "GET /assets/unicom/images/fancybox_loading.gif HTTP/1.1" 200 4980 "http://gkeysystems.com/assets/unicom/css/jquery.fancybox.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:03:46 +0300] "GET /assets/unicom/images/fancybox_overlay.png HTTP/1.1" 200 644 "http://gkeysystems.com/assets/unicom/css/jquery.fancybox.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:03:46 +0300] "GET /assets/unicom/video/motivation.mp4?autoplay=1 HTTP/1.0" 200 6746065 "http://gkeysystems.com/bindex" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:03:46 +0300] "GET /assets/unicom/video/motivation.mp4?autoplay=1 HTTP/1.0" 206 6746118 "http://gkeysystems.com/assets/unicom/video/motivation.mp4?autoplay=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:03:46 +0300] "GET /assets/unicom/video/motivation.mp4?autoplay=1 HTTP/1.0" 206 225291 "http://gkeysystems.com/assets/unicom/video/motivation.mp4?autoplay=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:03:46 +0300] "GET /assets/unicom/video/motivation.mp4?autoplay=1 HTTP/1.0" 206 225291 "http://gkeysystems.com/assets/unicom/video/motivation.mp4?autoplay=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:03:47 +0300] "GET /assets/unicom/video/motivation.mp4?autoplay=1 HTTP/1.0" 206 6486421 "http://gkeysystems.com/assets/unicom/video/motivation.mp4?autoplay=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
141.136.86.56 - - [01/Apr/2018:07:07:18 +0300] "GET /assets/unicom/video/motivation.mp4?autoplay=1 HTTP/1.0" 200 6746065 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
